	WHITES			BROWNS			BLACKS		
 age_x 	 w_2010 	 w_2020 	wD_2010_19	br_2010	br_2020	brD_2010_19	bl_2010	bl_2020	blD_2010_19
0	6701296	6021947	17865	6217740	6158644	19939	655969	767158	1118
5	6562663	5784805	1410	7280100	7160404	1732	887223	927486	167
10	7196872	5877151	1843	8558112	7859250	2589	1155494	1067413	313
15	7311872	6200243	5958	8155280	8538769	11883	1264207	1355429	1540
20	7774976	6256171	8442	7814985	7799905	15621	1381768	1452048	2188
25	7936683	6229934	8835	7455945	7229481	14805	1443930	1360664	2323
30	7345044	6633612	10260	6800593	7599471	15417	1360386	1540645	2740
35	6596429	7198629	12144	5916039	7834916	16537	1175388	1641334	3258
40	6365587	6652092	15528	5368251	7152940	18586	1095341	1564834	3950
45	6052936	6112281	21675	4647335	6245026	22505	972766	1308394	5086
50	5286693	6409599	30475	3869891	5939567	27089	848120	1235085	6582
55	4404153	6063238	39932	3076697	5256774	31272	675419	1149655	7901
60	3520662	5170678	49499	2362044	4392399	34795	521873	973870	8787
65	2637454	4134811	57638	1735101	3353075	37413	384631	732192	9191
70	2096111	3143811	66180	1288906	2325600	39470	290061	468890	9398
75	1500702	2198995	75711	826329	1520129	40574	192529	311326	9196
80	1764609	2797004	215856	906852	1714651	95123	213403	382577	20848
